#front|back|emoji|category|added|lastSeen|seen|penalty|level
hola | hello |  | phrase | 2026-03-10 | 2026-03-15 | 2 | 6 | -1
buenos días | good morning |  | phrase | 2026-03-10 | 2026-03-15 | 3 | 8 | -1
buenas tardes | good afternoon |  | phrase | 2026-03-10 | 2026-03-15 | 3 | 7 | -1
buenas noches | good evening / good night |  | phrase | 2026-03-10 | 2026-03-15 | 2 | 6 | -1
adiós | goodbye |  | phrase | 2026-03-10 | 2026-03-15 | 2 | 3 | -1
hasta luego | see you later |  | phrase | 2026-03-10 | 2026-03-13 | 2 | 5 | -1
hasta mañana | see you tomorrow |  | phrase | 2026-03-10 | 2026-03-15 | 2 | 6 | -1
nos vemos | see you |  | phrase | 2026-03-10 | 2026-03-16 | 4 | 4 | -1
por favor | please |  | phrase | 2026-03-10 | 2026-03-15 | 3 | 6 | -1
gracias | thank you |  | miscellaneous | 2026-03-10 | 2026-03-15 | 3 | 8 | -1
muchas gracias | thank you very much |  | phrase | 2026-03-10 | 2026-03-15 | 2 | 6 | -1
de nada | you're welcome |  | phrase | 2026-03-10 | 2026-03-15 | 2 | 6 | -1
perdón | excuse me (light sorry) |  | phrase | 2026-03-10 | 2026-03-15 | 6 | 13 | -1
lo siento | I'm sorry (strong sorry) |  | phrase | 2026-03-10 | 2026-03-15 | 2 | 6 | -1
con permiso | excuse me (passing by) |  | phrase | 2026-03-10 | 2026-03-15 | 6 | 12 | -1
¿cómo estás? | how are you? |  | phrase | 2026-03-10 | 2026-03-15 | 2 | 6 | -1
¿cómo está usted? | how are you (formal)? |  | phrase | 2026-03-10 | 2026-03-15 | 2 | 6 | -1
estoy bien | I am well |  | phrase | 2026-03-10 | 2026-03-15 | 2 | 6 | -1
más, o menos | so-so |  | phrase | 2026-03-10 | 2026-03-15 | 3 | 5 | -1
muy bien | very well |  | phrase | 2026-03-10 | 2026-03-19 | 9 | 13 | -1
¿qué tal? | how's it going? |  | phrase | 2026-03-10 | 2026-03-16 | 4 | 10 | -1
mucho gusto | nice to meet you |  | phrase | 2026-03-10 | 2026-03-15 | 4 | 10 | -1
encantado | pleased to meet you |  | miscellaneous | 2026-03-10 | 2026-03-15 | 4 | 11 | -1
¿de dónde eres? | where are you from? |  | phrase | 2026-03-10 | 2026-03-15 | 5 | 12 | -1
soy de Canadá | I am from Canada |  | phrase | 2026-03-10 | 2026-03-19 | 4 | 8 | 0
¿dónde está el baño? | where is the bathroom? |  | phrase | 2026-03-10 | 2026-03-11 | 5 | 6 | -1
¿cuánto cuesta? | how much does it cost? |  | phrase | 2026-03-10 | 2026-03-15 | 3 | 8 | -1
la cuenta, por favor | the bill please |  | noun | 2026-03-10 | 2026-03-15 | 2 | 6 | -1
¿habla inglés? | do you speak English? |  | phrase | 2026-03-10 | 2026-03-15 | 3 | 3 | -1
no entiendo | I don't understand |  | phrase | 2026-03-10 | 2026-03-19 | 4 | 10 | -1
¿puede repetir? | can you repeat? |  | phrase | 2026-03-10 | 2026-03-14 | 9 | 15 | 0
¿puede hablar más despacio? | can you speak more slowly? |  | phrase | 2026-03-10 | 2026-03-16 | 9 | 13 | 0
hablo un poco de español | I speak a little Spanish |  | phrase | 2026-03-10 | 2026-03-15 | 4 | 10 | -1
¿qué significa? | what does it mean? |  | phrase | 2026-03-10 | 2026-03-16 | 11 | 8 | 0
¿cómo se dice...? | how do you say...? |  | phrase | 2026-03-10 | 2026-03-15 | 2 | 6 | -1
¿qué hora es? | what time is it? |  | phrase | 2026-03-10 | 2026-03-15 | 3 | 8 | -1
¿dónde está el hotel? | where is the hotel? |  | phrase | 2026-03-10 | 2026-03-15 | 5 | 10 | -1
¿dónde está el restaurante? | where is the restaurant? |  | phrase | 2026-03-10 | 2026-03-15 | 3 | 8 | -1
necesito ayuda | I need help |  | phrase | 2026-03-10 | 2026-03-17 | 8 | 18 | -1
estoy perdido | I am lost |  | phrase | 2026-03-10 | 2026-03-15 | 4 | 5 | -1
¿qué? | what |  | miscellaneous | 2026-03-10 | 2026-03-15 | 3 | 8 | -1
¿quién? | who |  | miscellaneous | 2026-03-10 | 2026-03-19 | 3 | 8 | -1
¿quiénes? | who (plural) |  | miscellaneous | 2026-03-10 | 2026-03-15 | 6 | 14 | -1
¿dónde? | where |  | miscellaneous | 2026-03-10 | 2026-03-15 | 3 | 5 | -1
¿cuándo? | when |  | miscellaneous | 2026-03-10 | 2026-03-15 | 4 | 10 | -1
¿por qué? | why |  | miscellaneous | 2026-03-10 | 2026-03-15 | 4 | 10 | -1
¿cómo? | how |  | miscellaneous | 2026-03-10 | 2026-03-15 | 6 | 11 | -1
¿cuánto? | how much |  | miscellaneous | 2026-03-10 | 2026-03-15 | 2 | 6 | -1
¿cuántos? | how many |  | miscellaneous | 2026-03-10 | 2026-03-15 | 3 | 8 | -1
¿cuál? | which |  | miscellaneous | 2026-03-10 | 2026-03-16 | 4 | 10 | -1
